"Kreis";"Ort";"Typ";"Hersteller";"Nabenhoehe";"Rotordurchmesser";"Schallleistungspegel";"Leistung";"Leistungsbezug";"Ostwert";"Nordwert";"Genehmigt_am";"Iinbetriebnahme";"Status";"Bst_Nr";"Anl_Nr";"Datendatum";"Datenquelle"
"Schleswig-Flensburg";"Lindewitt";"Senvion 3.2M114";"Senvion";"93";"114";"105,2 dB(A) / 104,2 dB(A)";3200;"kW Nennleist. Rotor.";32511542;6059972;06.01.15;28.09.15;"in Betrieb";"59179000007";"0004";"06.07.2022";"LLUR SH, Abtl. 7"
"Schleswig-Flensburg";"Lindewitt";"Senvion 3.2M114";"Senvion";"93";"114";"105,2 dB(A) / 99,5 dB(A)";3200;"kW Nennleist. Rotor.";32511696;6060279;15.12.14;21.09.15;"in Betrieb";"59179000008";"0005";"06.07.2022";"LLUR SH, Abtl. 7"
"Schleswig-Flensburg";"Lindewitt";"Senvion 3.2M114";"Senvion";"93";"114";"105,2 dB(A) / 102,3 dB(A)";3200;"kW Nennleist. Rotor.";32511922;6059885;15.12.14;21.09.15;"in Betrieb";"59179000008";"0008";"06.07.2022";"LLUR SH, Abtl. 7"
"Schleswig-Flensburg";"Lindewitt";"Senvion 3.2M114";"Senvion";"93";"114";"105,2 dB(A) / 104,2 dB(A)";3200;"kW Nennleist. Rotor.";32511303;6059448;15.12.14;21.10.15;"in Betrieb";"59179000009";"0006";"06.07.2022";"LLUR SH, Abtl. 7"
"Schleswig-Flensburg";"Lindewitt";"Senvion 3.2M114";"Senvion";"93";"114";"105,2 dB(A) / 102,7 dB(A)";3200;"kW Nennleist. Rotor.";32511651;6059646;15.12.14;15.10.15;"in Betrieb";"59179000010";"0007";"06.07.2022";"LLUR SH, Abtl. 7"
"Schleswig-Flensburg";"Lindewitt";"REpower 3.2";"REpower";"93";"114";"105,2 dB(A) / 104,1 dB(A)";3200;"kW Nennleist. Rotor.";32513502;6056959;17.12.14;30.10.15;"in Betrieb";"59179000011";"0006";"06.07.2022";"LLUR SH, Abtl. 7"
"Schleswig-Flensburg";"Lindewitt";"REpower 3.2M";"REpower";"93";"114";"105,2 dB(A) / 105,2 dB(A)";3200;"kW Nennleist. Rotor.";32514040;6057119;17.12.14;16.10.15;"in Betrieb";"59179000012";"0007";"06.07.2022";"LLUR SH, Abtl. 7"
"Schleswig-Flensburg";"Lindewitt";"NORDEX N133";"Nordex";"110";"133";"HZ /dB(A) | 63/84,9 | 125/90,6 | 250/92,9 | 500/93,7 | 1000/95,5 | 2000/96 | 4000/93,7 | 8000/--- | SLP=102 dB(A)";4800;"kW Nennleist. Rotor.";32510073;6062980;08.05.20;;"vor Inbetriebnahme";"59179000013";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Schleswig-Flensburg";"Lindewitt";"NORDEX N149";"Nordex";"105";"149";"HZ /dB(A) | 63/83,7 | 125/89,9 | 250/93,6 | 500/96,2 | 1000/96,9 | 2000/94,4 | 4000/86,8 | 8000/ | SLP=102 dB(A)";5700;"kW Nennleist. Rotor.";32509668;6062514;08.05.20;;"vor Inbetriebnahme";"59179000013";"0002";"06.07.2022";"LLUR SH, Abtl. 7"
"Schleswig-Flensburg";"Lindewitt";"NORDEX N149";"Nordex";"105";"149";"HZ /dB(A) | 63/84,7 | 125/90,9 | 250/94,6 | 500/97,2 | 1000/97,9 | 2000/95,4 | 4000/87,8 | 8000/ | SLP=103,0 dB(A)";5700;"kW Nennleist. Rotor.";32510107;6062541;08.05.20;;"vor Inbetriebnahme";"59179000013";"0003";"06.07.2022";"LLUR SH, Abtl. 7"
"Schleswig-Flensburg";"Lindewitt";"Enercon E101";"Enercon";"99";"101";"106,5 dB(A)/106,1 dB(A)";3050;"kW Nennleist. Rotor.";32515245;6057772;27.12.16;30.09.17;"in Betrieb";"59179000018";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Schleswig-Flensburg";"Lindewitt";"Enercon E-101";"Enercon";"99";"101";"106,5dB(A)/106,5dB(A)";3050;"kW Nennleist. Rotor.";32515653;6058143;27.12.16;30.09.17;"in Betrieb";"59179000018";"0002";"06.07.2022";"LLUR SH, Abtl. 7"
"Schleswig-Flensburg";"Lindewitt";"Repower 3,2 M 114/ ZB 01";"REpower";"93";"114";"105,2";3200;"kW Nennleist. Rotor.";32509763;6063090;16.10.12;27.06.13;"in Betrieb";"59179000021";"0003";"06.07.2022";"LLUR SH, Abtl. 7"
"Schleswig-Flensburg";"Lindewitt";"Repower 3,2 M 114/ ZB 01";"REpower";"93";"114";"105,2";3200;"kW Nennleist. Rotor.";32509235;6062563;16.10.12;14.06.13;"in Betrieb";"59179000021";"0004";"06.07.2022";"LLUR SH, Abtl. 7"
"Schleswig-Flensburg";"Lindewitt";"Repower MM 92/ ZB 03";"REpower";"80";"82";"101,5 dB(A) durch Verzichtserklürung vom 29.11.2019";2000;"kW Nennleist. Rotor.";32510293;6063198;16.10.12;25.07.13;"in Betrieb";"59179000021";"0005";"06.07.2022";"LLUR SH, Abtl. 7"
"Schleswig-Flensburg";"Lindewitt";"Enercon E-82";"Enercon";"108";"82";"105,0 dB(A)/100,2 dB(A)";2300;"kW Nennleist. Rotor.";32512892;6058226;17.12.14;23.12.15;"in Betrieb";"59179000022";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Schleswig-Flensburg";"Lindewitt";"Enercon E-82";"Enercon";"108";"82";"105,0 dB(A)/99,5 dB(A)";2300;"kW Nennleist. Rotor.";32512640;6058051;17.12.14;17.12.15;"in Betrieb";"59179000022";"0002";"06.07.2022";"LLUR SH, Abtl. 7"
"Schleswig-Flensburg";"Lindewitt";"Enercon E-82";"Enercon";"108";"82";"105,0 dB(A)/99,5 dB(A)";2300;"kW Nennleist. Rotor.";32512819;6057908;17.12.14;23.12.15;"in Betrieb";"59179000022";"0003";"06.07.2022";"LLUR SH, Abtl. 7"
"Schleswig-Flensburg";"Lindewitt";"REpower 3.2M";"REpower";"93";"114";"105,2 dB(A) / 101,6 dB(A)";3200;"kW Nennleist. Rotor.";32513125;6057568;17.12.14;08.10.15;"in Betrieb";"59179000023";"0004";"06.07.2022";"LLUR SH, Abtl. 7"
"Schleswig-Flensburg";"Lindewitt";"REpower 3.2M";"REpower";"93";"114";"105,2 dB(A) / 105,2 dB(A)";3200;"kW Nennleist. Rotor.";32513678;6057519;17.12.14;01.10.15;"in Betrieb";"59179000023";"0005";"06.07.2022";"LLUR SH, Abtl. 7"
"Schleswig-Flensburg";"Lindewitt";"Nordex N133";"Nordex";"110";"133,2";"HZ /dB(A) | 63/79,9 | 125/86,9 | 250/90,7 | 500/91,6 | 1000/92,1 | 2000/90,8 | 4000/86,5 | 8000/ | SLP=98,1 dB(A)";4800;"kW Nennleist. Rotor.";32510917;6060105;;;"im Gen.Verf.";"59179000027";"0002";"06.07.2022";"LLUR SH, Abtl. 7"
"Schleswig-Flensburg";"Lindewitt";"Nordex N117";"Nordex";"91,0";"116,8";"HZ /dB(A) | 63/80,3 | 125/87,9 | 250/90,8 | 500/90,5 | 1000/92,1 | 2000/93,9 | 4000/92,8 | 8000/84,1 | SLP=99,7 dB(A)";3675;"kW Nennleist. Rotor.";32512839;6065143;;;"im Gen.Verf.";"59179000030";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
